Content Num,Image,Date,Series,Facility/Brand,Content,Reach,Likes/Reactions,Sticker Taps,Replies,Link Clicks,Comments,Shares
1,Live,2020,Meal Highlight,Hillside,Food,0,0,10,0,0,0,1
2,Live,2020,Meal Highlight,Northside,Food,0,0,0,0,0,0,1
3,Live,2020,Meal Highlight,Hillside ,Food,0,0,0,0,0,0,0
4,Live,2020,Meal Highlight,Northside,Food,0,0,0,0,0,0,1
5,Live,2020,Meal Highlight,Northside,Food,0,0,0,0,0,0,0
6,Professional,2020,Meal Highlight,Southside,Food,0,0,0,0,0,0,4
7,Professional,2020,Event,Southside,Other/Text,0,0,0,0,0,0,0
8,Live,2020,Event,Hillside,Other/Text,0,0,0,0,0,0,0
9,Live,2020,Event,Hillside,Other/Text,0,0,0,0,0,0,0
10,Live,2020,Event,Hillside,Other/Text,0,0,0,0,0,0,0
11,Live,2020,Event,Southside,Other/Text,0,0,0,0,0,0,0
12,Professional,2020,Event,WSU,Other/Text,0,0,0,0,0,0,0
13,Professional,2020,Event,WSU,Other/Text,0,0,0,0,0,0,0
14,Professional,2021,Event,Hillside,Graphic,0,0,0,0,0,0,1
15,Professional,2021,Event,WSU,Graphic,0,0,0,0,0,0,1
16,Professional,2021,Event,Hillside,Graphic,0,0,0,1,0,0,0
17,Live,2022,Student Poll,CUB,Student,192,0,0,0,0,0,3
18,Professional,2022,Event,Main Centers,Graphic,212,0,0,1,0,0,0
19,Professional,2022,Event,Main Centers,Graphic,179,0,0,0,0,0,0
20,Repost,2022,Student Poll,CUB,Student,145,0,0,0,0,0,0
21,Repost,2022,Employee Prof.,Southside,Student,160,0,0,0,0,0,2
22,Live,2022,Meal Highlight,Hillside,Food,185,0,0,0,0,0,2
23,Live,2022,Meal Highlight,Northside,Food,167,0,0,0,0,0,0
24,Live,2022,Meal Highlight,Southside,Food,165,0,0,1,0,0,0
25,Repost,2022,Informative,WSUROAR,Student,167,0,0,0,0,0,0
26,Live,2022,Meal Highlight,SPARK Starb.,Food,148,0,0,0,0,0,0
27,Live,2022,Meal Highlight,Southside,Food,140,0,0,0,0,0,0
28,Live,2022,Meal Highlight,Lighty Espresso,Food,139,0,0,0,0,0,0
29,Live,2022,Story Poll,Espresso Bars,Other/Text,117,0,0,0,0,0,0
30,Repost,2022,Informative,WSU ,Student,108,0,0,0,0,0,0
31,Repost,2022,Meal Highlight,Carlita's,Food,143,0,2,1,0,0,0
32,Live,2022,Link,Main Centers,Other/Text,222,0,0,0,9,0,4
33,Repost,2022,Informative,WSUROAR,Student,164,0,0,0,0,0,0
34,Live,2022,COT Promo,Northside,Food,168,0,0,0,0,0,0
35,Live,2022,COT Promo,Southside,Other/Text,179,0,0,0,0,0,1
36,Live,2022,Meal Highlight,Northside,Food,216,0,0,1,0,0,4
37,Professional,2022,COT Promo,Northside,Student,176,0,0,0,0,0,1
38,Live,2022,Informative,Student Survey,Other/Text,153,0,0,0,0,0,1
39,Live,2022,Event,Northside,Food,190,0,0,0,0,0,1
40,Live,2022,COT Promo,Hillside,Other/Text,141,0,0,0,0,0,0
41,Live,2022,COT Promo,Hillside,Other/Text,156,0,0,0,0,0,1
42,Live,2022,COT Promo,Hillside,Other/Text,149,0,0,0,0,0,0
43,Live,2022,Informative,Student Survey,Other/Text,149,0,0,0,5,0,4
44,Repost,2022,Event,Southside,Other/Text,128,0,0,0,10,0,1
45,Professional,2022,Event,Northside,Graphic,216,0,0,0,0,0,4
46,Professional,2022,Event,Hillside,Graphic,134,0,0,1,0,0,1
47,Repost,2022,Event,Hillside,Other/Text,165,0,0,0,0,0,0
48,Repost,2022,Event,Northside,Other/Text,148,0,0,0,1,0,1
49,Professional,2022,Event,Main Centers,Graphic,202,0,0,0,0,0,3
50,Repost,2022,Event,Southside,Other/Text,120,0,0,0,0,0,0
51,Repost,2022,Event,Northside,Other/Text,109,0,0,0,0,0,2
52,Professional,2022,Event,Main Centers,Graphic,161,0,0,0,0,0,5
53,Live,2022,Event,Hillside,Other/Text,153,0,0,0,0,0,8